time,Constrained Defence Spending,Cumulative Defence Spending,rate of orders fulfilled,rate of expenses,Cumulative Earnings,stress_to_willingness,delay,shock,shock_pct
1.0,43.03,0.0,2.52,2.0916,2.0,1.0,1,0.0,0%
1.25,42.7985523875,10.7575,2.52,2.10839538,2.07497,1.0,1,0.0,0%
1.5,42.567104775000004,21.515,2.52983625,2.13348596143375,2.1470008085,1.0,1,0.0,0%
1.75,42.335657162500006,32.2725,2.5469628946453122,2.164904452152595,2.216362108999094,1.0,1,0.0,0%
2.0,42.10420955,43.03,2.569445951794922,2.20113985610067,2.2832223364353195,1.0,1,0.0,0%
2.25,41.8727619375,53.7875,2.595816708856453,2.228708955075965,2.3476759031818135,1.0,1,0.0,0%
2.5,41.641314324999996,64.545,2.6249602403543646,2.2587651620237286,2.411919760093399,1.0,1,0.0,0%
2.75,41.4098667125,75.30250000000001,2.6560306329322194,2.290594903567202,2.4760038988012605,1.0,1,0.0,0%
3.0,41.1784191,86.06,2.6883865196365995,2.3236549127751815,2.5399551514401386,1.0,1,0.0,0%
3.25,40.9469714875,96.8175,2.7215420580997414,2.3610676890347997,2.603783182640887,1.0,1,0.0,0%
3.5,40.715523875,107.57499999999999,2.7551296528105063,2.399070012941265,2.6668661972272516,1.0,1,0.0,0%
3.75,40.484076262500004,118.33249999999998,2.7888716080061435,2.437423353302458,2.729176634204369,1.0,1,0.0,0%
4.0,40.252628650000005,129.08999999999997,2.8225585717239703,2.475945556557695,2.790680078777514,1.0,1,0.0,0%
4.25,40.172318428125,139.84749999999997,2.8560331440907625,2.537469779182307,2.8513373564316122,1.0,1,0.0,0%
4.5,40.0893794640625,150.64562499999997,2.8985168196129494,2.6078535529421627,2.907085945290592,1.0,1,0.0,0%
4.75,40.00380185546875,161.48437499999997,2.94784163315132,2.685426244889006,2.9579520169579796,1.0,1,0.0,0%
5.0,39.9155757,172.36374999999998,3.0023529531414956,2.7688929898581662,3.0038747099038847,1.0,1,0.0,0%
5.25,39.6770829,183.28374999999997,3.060785659782853,2.81253375207843,3.0447302034784673,1.0,1,0.0,0%
5.5,39.4385901,194.20374999999996,3.1124457711937494,2.8495826073646957,3.0881742873267415,1.0,1,0.0,0%
5.75,39.25604865,205.12374999999994,3.158779143786867,2.8814264895405906,3.134175340996826,1.0,1,0.0,0%
6.0,39.13680225,216.04374999999993,3.2008879479341963,2.909120609704098,3.182712055489924,1.0,1,0.0,0%
