time,Cumulative Earnings,delay_in_delivery
1.0,2.0,1
1.25,2.07497,1
1.5,2.1470008085,1
1.75,2.216067167304698,1
2.0,2.2821523281665645,1
2.25,2.345245908141996,1
2.5,2.252492830423063,1
2.75,2.3137595263209914,1
3.0,2.225538073534517,1
3.25,2.284957314631512,1
3.5,2.147081816802795,1
3.75,2.203509439212842,1
4.0,2.2584425881789465,1
4.25,2.2291984219484173,1
4.5,2.2776542540491924,1
4.75,2.321275785310194,1
5.0,2.3601384044224143,1
5.25,2.3942640390987853,1
5.5,2.430089556721515,1
5.75,2.467554127550224,1
6.0,2.5066070438837778,1
6.25,2.547205846980727,1
6.5,2.58704089388872,1
6.75,2.3934822142029133,1
7.0,2.43171169658996,1
7.25,2.469113855349724,1
7.5,2.5053517872953566,1
7.75,2.540420479348067,1
8.0,2.5743176906751493,1
8.25,2.607043239221737,1
8.5,2.639405284437608,1
8.75,2.671501861388921,1
9.0,2.703404133403161,1
9.25,2.4639527129046304,1
9.5,2.4986476046769717,1
9.75,2.536230640995435,1
10.0,2.576656907354479,1
10.25,2.6198848104460524,1
10.5,2.663573128898239,1
10.75,2.7076904797201142,1
11.0,2.752212117607739,1
11.25,2.797118414253593,1
11.5,2.842324636099132,1
11.75,2.887818456865416,1
12.0,2.933589930665208,1
12.25,2.8483119303418403,1
12.5,2.894104809330894,1
12.75,2.939787599466382,1
13.0,2.9854625174203386,1
13.25,3.0312046030288147,1
13.5,2.951054586894238,1
13.75,2.9969410353493697,1
14.0,3.0427755152601814,1
14.25,3.0885015741370143,1
14.5,3.134076661076211,1
14.75,2.8979423602742194,1
15.0,2.9431275710156886,1
15.25,2.988088004039867,1
15.5,3.032810432547833,1
15.75,3.0772851487788984,1
16.0,3.121505117083391,1
16.25,3.1654653301768114,1
16.5,3.1195244186843842,1
16.75,3.1626052640014217,1
17.0,2.92459038953199,1
17.25,2.9671829157950396,1
17.5,3.0096138579253497,1
17.75,3.051790410468149,1
18.0,3.0936432937374674,1
18.25,3.135121023237973,1
18.5,3.176185572323395,1
18.75,3.2168090895915284,1
19.0,3.2569714147108746,1
19.25,3.2966581986210315,1
19.5,3.3358594811867337,1
19.75,3.3745686150795198,1
20.0,3.4127814516881134,1
20.25,3.4504957253220754,1
20.5,3.4881569110348107,1
20.75,3.5258766121849963,1
21.0,3.5637385767079954,1
21.25,3.6018052656178186,1
21.5,3.6401228623897244,1
21.75,3.6786111517140943,1
22.0,3.7172088009805635,1
22.25,3.7558689258498963,1
22.5,3.79455569678509,1
22.75,3.8332417421993235,1
23.0,3.8719061612290133,1
23.25,3.910533003030666,1
23.5,3.949110103089353,1
23.75,3.9876281927321124,1
24.0,4.026080217711621,1
1.0,2.0,5
1.25,2.07497,5
1.5,2.1470008085,5
1.75,2.2160873738609395,5
2.0,2.282225379085345,5
2.25,2.3454112238458174,5
2.5,2.407733931554407,5
2.75,2.4691898083725845,5
3.0,2.5297754078348835,5
3.25,2.5894875249797367,5
3.5,2.6477516662985705,5
3.75,2.7045657937614336,5
4.0,2.7599282006671633,5
4.25,2.8138375038648076,5
4.5,2.8627644151927587,5
4.75,2.906741247099481,5
5.0,2.945790887074929,5
5.25,2.979927444198906,5
5.5,3.0155781412990024,5
5.75,3.0527403486180686,5
6.0,3.091410894417668,5
6.25,3.1315860891909018,5
6.5,3.17101118188222,5
6.75,3.209679582440948,5
7.0,3.247585260486079,5
