geo_shock_pct,Cumulative Earnings
0%,2.0
0%,2.07497
0%,2.1470008085
0%,2.2160912227287954
0%,2.282240170959188
0%,2.345446716885275
0%,2.4078031194345804
0%,2.4693083475208883
0%,2.5299613984559355
0%,2.589761299373626
0%,2.6481345143557022
0%,2.705080327304012
0%,2.7605980908532644
0%,2.814687228341642
0%,2.86380523449776
0%,2.907959893448526
0%,2.947157048466034
0%,2.981400646471678
0%,3.0171278373661243
0%,3.054338296791674
0%,3.093031561750656
0%,3.133207029231824
0%,3.1726143821192254
0%,3.2112522681045323
0%,3.2491194048161423
0%,3.286214579820627
0%,3.3222115787248736
0%,3.357109335387381
0%,3.3909068820784385
0%,3.423603349356283
0%,3.4560057868961604
0%,3.4881180442345463
0%,3.5199438012337616
0%,3.5514865707922154
0%,3.585756049632663
0%,3.6227528757278415
0%,3.662477396972798
0%,3.7049296720080807
0%,3.747847119079888
0%,3.7912283933230517
0%,3.835072104502692
0%,3.8793768173193506
0%,3.924072781393848
0%,3.9691584665989983
0%,4.014632305897162
0%,4.060492695643416
0%,4.1062276762990235
0%,4.151842388749037
0%,4.197341833602525
0%,4.242730872652706
0%,4.288014230298519
0%,4.3331899311256805
0%,4.378256019581186
0%,4.4232105601287
0%,4.468051637398101
0%,4.512777356329247
0%,4.557385842310014
0%,4.601875241308677
0%,4.646243720000677
0%,4.690489465889849
0%,4.734610687424153
0%,4.778605614105984
0%,4.8222294363435365
0%,4.8654868133323
0%,4.908382191283185
0%,4.950919807110857
0%,4.993103692075916
0%,5.03493166607891
0%,5.076401606793313
0%,5.117511449659297
0%,5.1582591878649
0%,5.198642872314799
0%,5.238660611586866
0%,5.278310571876695
0%,5.3175909769302905
0%,5.356500107965107
0%,5.395036303579618
0%,5.433197959651612
0%,5.471436697375988
0%,5.509756230501206
0%,5.548160209024118
0%,5.586652218750591
0%,5.625235780833789
0%,5.663908907683713
0%,5.702669605804098
0%,5.741515876075961
0%,5.7804457140398355
0%,5.819457110176643
0%,5.85854805018716
0%,5.897716515270064
0%,5.936960482398496
0%,5.976277924595126
0%,6.015666811205667
10%,2.0
10%,1.8686195169601487
10%,1.9406503254601486
10%,2.0097407396889437
10%,2.0758896879193363
10%,2.1390962338454234
10%,2.2014526363947287
10%,2.2629578644810366
10%,2.3236109154160838
10%,2.3834108163337744
10%,2.29578090482838
10%,2.149402790440355
10%,2.2049205539896075
10%,2.1902491487935207
10%,2.2393671549496386
10%,2.2835218139004043
10%,2.3227189689179126
10%,2.188479165626543
10%,2.2242063565209897
10%,2.2614168159465393
10%,2.0868568424013287
10%,2.127032309882497
10%,2.166439662769898
10%,2.205077548755205
10%,2.242944685466815
10%,2.2800398604712995
10%,2.2222223961753578
10%,2.257120152837865
10%,2.2909176995289227
10%,2.323614166806767
10%,2.3560166043466446
10%,2.3881288616850305
10%,2.4199546186842458
10%,2.4514973882426996
10%,2.485766867083147
10%,2.4431003272616523
10%,2.482824848506609
10%,2.5252771235418914
10%,2.5681945706136986
10%,2.6115758448568624
10%,2.369490332703957
10%,2.4137950455206156
10%,2.2305696506049215
10%,2.2756553358100717
10%,2.3211291751082346
10%,2.3669895648544883
10%,2.4127245455100956
10%,2.458339257960109
10%,2.503838702813597
10%,2.549227741863778
10%,2.5945110995095915
10%,2.639686800336752
10%,2.684752888792257
10%,2.729707429339771
10%,2.7745485066091726
10%,2.8192742255403185
10%,2.863882711521086
10%,2.908372110519749
10%,2.9527405892117495
10%,2.9969863351009214
10%,3.0411075566352253
10%,3.0851024833170557
10%,3.1287263055546086
10%,3.171983682543372
10%,3.214879060494257
10%,3.257416676321929
10%,3.2996005612869888
10%,3.3414285352899826
10%,3.382898476004386
10%,3.4240083188703703
10%,3.4647560570759732
10%,3.5051397415258725
10%,3.5451574807979394
10%,3.584807441087768
10%,3.624087846141364
10%,3.66299697717618
10%,3.7015331727906915
10%,3.7396948288626866
10%,3.777933566587062
10%,3.8162530997122803
10%,3.854657078235193
10%,3.8931490879616657
10%,3.931732650044864
10%,3.9704057768947885
10%,3.95426810369017
10%,3.9254581910461517
10%,3.964388029010027
10%,4.003399425146834
10%,4.042490365157351
10%,4.081658830240255
10%,3.8777432150142075
10%,3.917060657210837
10%,3.956449543821377
20%,2.0
20%,2.07497
20%,2.1470008085
20%,2.2160912227287954
20%,2.282240170959188
20%,2.345446716885275
20%,2.275556670479545
20%,2.337061898565853
20%,2.3977149495009003
20%,2.457514850418591
20%,2.515888065400667
20%,2.572833878348977
20%,2.628351641898229
20%,2.682440779386607
20%,2.486494919670864
20%,2.53064957862163
20%,2.5698467336391384
20%,2.604090331644782
20%,2.6398175225392286
20%,2.4545374744407567
20%,2.493230739399739
20%,2.533406206880907
20%,2.572813559768308
20%,2.4961033236418357
20%,2.5339704603534456
20%,2.3113057223419045
20%,2.3473027212461512
20%,2.3822004779086585
20%,2.415998024599716
20%,2.3074602646892535
20%,2.1821559365757484
20%,2.214268193914134
20%,2.2460939509133495
20%,2.2776367204718033
20%,2.3119061993122507
20%,2.3489030254074295
20%,2.157198369777066
20%,2.1128679411533575
20%,2.0917159250262256
20%,2.1350971992693895
20%,2.17894091044903
20%,2.2232456232656883
20%,2.267941587340186
20%,2.313027272545336
20%,2.358501111843499
20%,2.4043615015897526
20%,2.45009648224536
20%,2.3596039165984686
20%,2.405103361451957
20%,2.336267155295564
20%,2.381550512941377
20%,2.426726213768538
20%,2.471792302224043
20%,2.516746842771557
20%,2.503145558815692
20%,2.392370596091092
20%,2.4369790820718595
20%,2.4814684810705225
20%,2.331413647585811
20%,2.375659393474983
20%,2.419780615009287
20%,2.4637755416911173
20%,2.3463501889635223
20%,2.3896075659522857
20%,2.4325029439031707
20%,2.475040559730843
20%,2.440517922732079
20%,2.4823458967350724
20%,2.523815837449476
20%,2.56492568031546
20%,2.605673418521063
20%,2.6460571029709623
20%,2.686074842243029
20%,2.725724802532858
20%,2.7650052075864537
20%,2.80391433862127
20%,2.8424505342357813
20%,2.8806121903077764
20%,2.7116544565275027
20%,2.749973989652721
20%,2.596618908458055
20%,2.5304122534838394
20%,2.5689958155670376
20%,2.5102637304595
20%,2.5490244285798846
20%,2.5878706988517477
20%,2.626800536815623
20%,2.6658119329524297
20%,2.4334266043466117
20%,2.4725950694295156
20%,2.511839036557948
20%,2.5511564787545775
20%,2.5905453653651174
30%,2.0
30%,2.07497
30%,2.1470008085
30%,2.2160912227287954
30%,2.282240170959188
30%,2.345446716885275
30%,2.4078031194345804
30%,2.4693083475208883
30%,2.5299613984559355
30%,2.589761299373626
30%,2.6481345143557022
30%,2.600109378420654
30%,2.600321839379931
30%,2.654410976868309
30%,2.7035289830244267
30%,2.4746289972964384
30%,2.5138261523139467
30%,2.5480697503195904
30%,2.583796941214037
30%,2.6210074006395865
30%,2.448777407812485
30%,2.488952875293653
30%,2.528360228181054
30%,2.566998114166361
30%,2.604865250877971
30%,2.3465711575830244
30%,2.382568156487271
30%,2.4174659131497784
30%,2.353926559433444
30%,2.3190259287674895
30%,2.351428366307367
30%,2.383540623645753
30%,2.415366380644968
30%,2.446909150203422
30%,2.4811786290438693
30%,2.518175455139048
30%,2.505015301190502
30%,2.2670687572542763
30%,2.3099862043260835
30%,2.3533674785692473
30%,2.3972111897488877
30%,2.441515902565546
30%,2.2716737766391533
