time,Cumulative Earnings,stress_to_willingness
1.0,2.0,1.0
1.25,2.07497,1.0
1.5,2.050601847658374,1.0
1.75,2.119963148157468,1.0
2.0,2.1868233755936934,1.0
2.25,2.2512769423401875,1.0
2.5,2.315520799251773,1.0
2.75,2.3796049379596345,1.0
3.0,2.4435561905985126,1.0
3.25,2.507384221799261,1.0
3.5,2.5704672363856256,1.0
3.75,2.632777673362743,1.0
4.0,2.6355121488232953,1.0
4.25,2.6961694264773937,1.0
4.5,2.7519180153363734,1.0
4.75,2.802784087003761,1.0
5.0,2.848706779949666,1.0
5.25,2.8895622735242488,1.0
5.5,2.933006357372523,1.0
5.75,2.9790074110426072,1.0
6.0,3.0275441255357056,1.0
6.25,3.078603409725973,1.0
6.5,3.1292857957540043,1.0
6.75,3.179526395598668,1.0
7.0,3.2292706213372253,1.0
7.25,3.2784717306065225,1.0
7.5,3.326653875547514,1.0
7.75,3.3737733378714254,1.0
8.0,3.419790391910394,1.0
8.25,3.4646684566711654,1.0
8.5,3.509490925084841,1.0
8.75,3.2981554853979014,1.0
9.0,3.3432138555501933,1.0
9.25,3.3885010722427196,1.0
9.5,3.4384429125544416,1.0
9.75,3.4930408112027225,1.0
10.0,3.5522986903581497,1.0
10.25,3.6162235200429618,1.0
10.5,3.6813901970484295,1.0
10.75,3.7477585884363434,1.0
11.0,3.8152975982666666,1.0
11.25,3.8839830614651434,1.0
11.5,3.671988543987036,1.0
11.75,3.4154560674407275,1.0
12.0,3.3001278701993173,1.0
12.25,3.3728137177028583,1.0
12.5,3.445660033509404,1.0
12.75,3.1304125096311517,1.0
13.0,3.2041725871873563,1.0
13.25,3.278589017643074,1.0
13.5,3.353748967959415,1.0
13.75,3.429483489566955,1.0
14.0,3.50566211849269,1.0
14.25,3.423026436321321,1.0
14.5,3.499812054742695,1.0
14.75,3.2728892390005653,1.0
15.0,2.93361367144471,1.0
15.25,3.010868815161581,1.0
15.5,3.088206562386999,1.0
15.75,3.1656011352058036,1.0
16.0,3.2430311662656863,1.0
16.25,3.320478671921984,1.0
16.5,3.397499133872575,1.0
16.75,3.474316544078309,1.0
17.0,3.55109312316054,1.0
17.25,3.6279444064012085,1.0
17.5,3.70495063221391,1.0
17.75,3.781931937818334,1.0
18.0,3.858750466450275,1.0
18.25,3.935300201290219,1.0
18.5,4.011499269966048,1.0
18.75,3.6366403893118915,1.0
19.0,3.7119613764044916,1.0
19.25,3.7867794305058746,1.0
19.5,3.8610635270763414,1.0
19.75,3.934788775365129,1.0
20.0,4.0079349707808785,1.0
20.25,4.0804854989401615,1.0
20.5,4.153289305415574,1.0
20.75,4.226562666102271,1.0
21.0,3.74353790077742,1.0
21.25,3.5405539207545447,1.0
21.5,3.616066191164562,1.0
21.75,3.692267774197525,1.0
22.0,3.769035409387295,1.0
22.25,3.8462738126650304,1.0
22.5,3.9239091151281498,1.0
22.75,4.001883841970754,1.0
23.0,4.080153070050416,1.0
23.25,4.1586814874228955,1.0
23.5,4.23744114311671,1.0
23.75,4.316409725117822,1.0
24.0,4.3955692425681185,1.0
1.0,2.0,1.5
1.25,2.07497,1.5
1.5,2.1470008085,1.5
1.75,2.216214638151896,1.5
2.0,2.2826873323009425,1.5
2.25,2.346460905661905,1.5
2.5,2.409674658661524,1.5
2.75,2.4723500759644184,1.5
3.0,2.5344980613833568,1.5
3.25,2.5961216975322285,1.5
3.5,2.656624831592199,1.5
3.75,2.715993861285781,1.5
4.0,2.7742121580554056,1.5
4.25,2.831261030148314,1.5
4.5,2.8833632406281917,1.5
4.75,2.930607042092386,1.5
5.0,2.972999698121449,1.5
5.25,3.0104902622469254,1.5
5.5,2.8140283388661325,1.5
5.75,2.8021990566625363,1.5
6.0,2.845993872075862,1.5
6.25,2.8918229157194704,1.5
6.5,2.9370816321874824,1.5
6.75,2.9817231880280444,1.5
7.0,3.0257100420908465,1.5
7.25,3.069011676105377,1.5
7.5,3.111221714548689,1.5
7.75,3.152315791737,1.5
8.0,3.1922729244200254,1.5
8.25,3.231074731073705,1.5
8.5,3.2696669878884785,1.5
8.75,3.3081625089105984,1.5
9.0,3.2004457660916166,1.5
9.25,3.2389688233252136,1.5
9.5,3.2812871893672453,1.5
9.75,3.3273776568506173,1.5
10.0,3.377219729607853,1.5
10.25,3.4307960959960457,1.5
10.5,3.4852235937248732,1.5
10.75,3.540466464829768,1.5
11.0,3.596496788688742,1.5
11.25,3.6532926686109075,1.5
11.5,3.7107490728058434,1.5
11.75,3.7688518316877313,1.5
12.0,3.6868702887021136,1.5
12.25,3.7462337185272263,1.5
12.5,3.805553315925026,1.5
12.75,3.865006086080622,1.5
13.0,3.9247235838357026,1.5
13.25,3.9848028418677996,1.5
13.5,4.045314653383821,1.5
13.75,4.106125138415157,1.5
14.0,4.167131692833431,1.5
14.25,4.228255503070305,1.5
14.5,4.2894358557505905,1.5
14.75,4.350625811812203,1.5
15.0,4.411788917897985,1.5
15.25,4.47289670626851,1.5
15.5,4.533926794135202,1.5
15.75,4.594861438660137,1.5
16.0,4.655686438342325,1.5
16.25,4.716390297717184,1.5
16.5,4.776627964075222,1.5
16.75,4.608624970800172,1.5
17.0,4.668414452643341,1.5
17.25,4.7281363573952,1.5
17.5,4.787854941366706,1.5
17.75,4.847433870440317,1.5
18.0,4.906769576390946,1.5
18.25,4.965783308561171,1.5
18.5,4.640275647844227,1.5
18.75,4.698479831193357,1.5
19.0,4.75622148729933,1.5
19.25,4.8134739063050995,1.5
19.5,4.870216595873184,1.5
19.75,4.926433786963971,1.5
20.0,4.982113302976142,1.5
20.25,5.037245703872765,1.5
20.5,5.0924781999668385,1.5
